name,batch_id,quantity,price,expiry_date
Paracetamol 500mg,BATCH-001,200,5.5,2026-12-01
Amoxicillin 250mg,BATCH-002,150,12.0,2025-08-15
Ibuprofen 400mg,BATCH-003,300,8.75,2027-01-20
Metformin 500mg,BATCH-004,120,15.3,2026-05-10
Atorvastatin 20mg,BATCH-005,80,22.0,2025-11-30
Lisinopril 10mg,BATCH-006,100,10.5,2026-09-12
Amlodipine 5mg,BATCH-007,90,9.25,2026-07-22
Omeprazole 20mg,BATCH-008,210,14.0,2027-03-05
Sertraline 50mg,BATCH-009,65,18.9,2025-12-15
Losartan 50mg,BATCH-010,110,11.2,2026-10-01
Albuterol 90mg,BATCH-011,45,25.0,2025-06-30
Gabapentin 300mg,BATCH-012,130,20.4,2026-02-14
Metoprolol 50mg,BATCH-013,75,13.6,2026-04-18
Levothyroxine 0.05mg,BATCH-014,200,30.0,2027-08-25
Rosuvastatin 10mg,BATCH-015,85,24.5,2026-01-10
Furosemide 40mg,BATCH-016,140,7.8,2025-09-05
Pantoprazole 40mg,BATCH-017,100,16.2,2026-11-20
Prednisone 10mg,BATCH-018,60,5.0,2025-10-15
Montelukast 10mg,BATCH-019,125,19.1,2026-08-11
Tramadol 50mg,BATCH-020,50,28.0,2025-07-07
Clopidogrel 75mg,BATCH-021,95,21.3,2026-12-30
Meloxicam 15mg,BATCH-022,115,14.75,2027-02-14
Allopurinol 300mg,BATCH-023,70,11.0,2026-05-25
Bupropion 150mg,BATCH-024,40,35.2,2025-12-01
Warfarin 5mg,BATCH-025,55,10.0,2026-03-15
